测试,#genre#
1,http://v6.hbpoon.top/gz200131.mp4
mp3,http://v6.hbpoon.top/%E8%AE%B8%E9%9D%96%E9%9F%B5%20-%20%E6%A2%A6%E4%BC%B4(Live).mp3
我的100分男友,https://video.sigujx.com/m3u8/Ha246420d1576483ba26a43332177a936l.m3u8
霍哥廚房35,http://v6.hbpoon.top/%E9%9C%8D%E5%93%A5%E5%BB%9A%E6%88%BF35.mkv
港台,#genre#
无线新闻台,P2p://sdgdklwos.finetv.tv:9906/5a562bec0007bfd761a2998e00b83dd5
无线新闻台,P2p://sdgdklwos.finetv.tv:9906/5ad32bdc000b780449ee52022e841cf7
无线新闻台,p8p://0198.02686.cc:16871/5d1a69dc000d64b611be7bef5757286e.ts
翡翠台,P2p://sdgdklwos.finetv.tv:9906/5ad32c0d0000bbd049ef0eab717740e2
翡翠台,P2p://sdgdklwos.finetv.tv:9906/5a562a0b000d7041619b441d562d5ee8
翡翠台,p8p://0198.02686.cc:16871/5d1a69fb000eb19011bef55c89140144.ts
翡翠台,http://116.199.5.51:8114/00000000/hls/index.m3u8?Fsv_chan_hls_se_idx=188&FvSeid=1&Fsv_ctype=LIVES&Fsv_otype=1&Provider_id=&Pcontent_id=.m3u8
VIU TV,P2p://sdgdklwos.finetv.tv:9906/59fd171800092000026eb35003107eef
VIU TV6,P2p://sdgdklwos.finetv.tv:9906/5ad32bae0001dd1049ed9be114c818f0
J2,P2p://sdgdklwos.finetv.tv:9906/59fd25e80008aaec02a88fc1476f2edf
J2,P2p://sdgdklwos.finetv.tv:9906/5ad32b7d000cca4049ecdf4812f47470
J2,vjms://121.14.222.75:8500:3502/live/cid=368
明珠台,P2p://sdgdklwos.finetv.tv:9906/59fd0d0a0009323a02476cb020fe16f9
明珠台,P2p://sdgdklwos.finetv.tv:9906/5ad32b590006aefa49ec511272c5262e
廣東IPTV,#genre#
廣東嘉佳卡通,rtsp://183.59.156.50/PLTV/88888905/224/3221226972/00000100000000060000000000554906_0.smil?accountinfo=DXi1uRtg+k7Xqypt+osZivaY/hXTjnQkUKGpqErK87albpOHLKfP59Ezam8BZLu2cNjCRpvfJcBFt0ghq8yUdtmKRoKA+HK4hKzX8JmEjYO4SoSNp+rVFn5ReLWtDyVlTkIJKjQwiQF23h02E4qTKw==:20200101000000,
廣東綜藝4K,rtsp://183.59.156.50/PLTV/88888905/224/3221229717/10000100000000060000000008643415_0.smil?accountinfo=DXi1uRtg+k7Xqypt+osZivaY/hXTjnQkUKGpqErK87albpOHLKfP59Ezam8BZLu2cNjCRpvfJcBFt0ghq8yUdtmKRoKA+HK4hKzX8JmEjYO4SoSNp+rVFn5ReLWtDyVlCIxaA25aeiznrwMa6NDRAg==:20200101000000,
廣東綜藝4K 寬色域(4k),rtsp://183.59.156.50/PLTV/88888905/224/3221229726/10000100000000060000000008690808_0.smil?accountinfo=DXi1uRtg+k7Xqypt+osZivaY/hXTjnQkUKGpqErK87albpOHLKfP59Ezam8BZLu2cNjCRpvfJcBFt0ghq8yUdtmKRoKA+HK4hKzX8JmEjYO4SoSNp+rVFn5ReLWtDyVlkZFzNG5ubJHus4unLs64SQ==:20200101000000,
廣東綜藝4K,rtsp://183.59.156.50/PLTV/88888905/224/3221229713/10000100000000060000000008646185_0.smil?accountinfo=DXi1uRtg+k7Xqypt+osZivaY/hXTjnQkUKGpqErK87albpOHLKfP59Ezam8BZLu2cNjCRpvfJcBFt0ghq8yUdtmKRoKA+HK4hKzX8JmEjYO4SoSNp+rVFn5ReLWtDyVl1yRyerSvWCtrvZPhg2EAHg==:20200101000000,
南方購物-精選,rtsp://183.59.156.50/PLTV/88888905/224/3221227224/10000100000000060000000000990026_0.smil?accountinfo=DXi1uRtg+k7Xqypt+osZivaY/hXTjnQkUKGpqErK87albpOHLKfP59Ezam8BZLu2cNjCRpvfJcBFt0ghq8yUdtmKRoKA+HK4hKzX8JmEjYO4SoSNp+rVFn5ReLWtDyVlom1o2tux1Iz9ovaqCgn4mQ==:20200101000000,
珠江電影,rtsp://183.59.156.50/PLTV/88888905/224/3221228082/10000100000000060000000007057113_0.smil?accountinfo=DXi1uRtg+k7Xqypt+osZivaY/hXTjnQkUKGpqErK87albpOHLKfP59Ezam8BZLu2cNjCRpvfJcBFt0ghq8yUdtmKRoKA+HK4hKzX8JmEjYO4SoSNp+rVFn5ReLWtDyVlnpwwUW7zeEs7Xh28/Q2hzg==:20200101000000,
南方購物,rtsp://183.59.156.50/PLTV/88888905/224/3221227200/10000100000000060000000000987154_0.smil?accountinfo=DXi1uRtg+k7Xqypt+osZivaY/hXTjnQkUKGpqErK87albpOHLKfP59Ezam8BZLu2cNjCRpvfJcBFt0ghq8yUdtmKRoKA+HK4hKzX8JmEjYO4SoSNp+rVFn5ReLWtDyVl9tNVBzz7k5dSMAF+X/LiAg==:20200101000000,
嶺南戲曲,rtsp://183.59.156.50/PLTV/88888905/224/3221227225/10000100000000060000000000990089_0.smil?accountinfo=DXi1uRtg+k7Xqypt+osZivaY/hXTjnQkUKGpqErK87albpOHLKfP59Ezam8BZLu2cNjCRpvfJcBFt0ghq8yUdtmKRoKA+HK4hKzX8JmEjYO4SoSNp+rVFn5ReLWtDyVlzG/SKbeiwpAu641329jYNw==:20200101000000,
房產頻道,rtsp://183.59.156.50/PLTV/88888905/224/3221227216/10000100000000060000000000990028_0.smil?accountinfo=DXi1uRtg+k7Xqypt+osZivaY/hXTjnQkUKGpqErK87albpOHLKfP59Ezam8BZLu2cNjCRpvfJcBFt0ghq8yUdtmKRoKA+HK4hKzX8JmEjYO4SoSNp+rVFn5ReLWtDyVlyPE2d9b/jbc3p6Bf2cEKdQ==:20200101000000,
現代教育,rtsp://183.59.156.50/PLTV/88888905/224/3221227233/10000100000000060000000000990060_0.smil?accountinfo=DXi1uRtg+k7Xqypt+osZivaY/hXTjnQkUKGpqErK87albpOHLKfP59Ezam8BZLu2cNjCRpvfJcBFt0ghq8yUdtmKRoKA+HK4hKzX8JmEjYO4SoSNp+rVFn5ReLWtDyVlm4By017d+yKMkioagf9TFg==:20200101000000,
